,city_id,City,Country,Lon,Lat,Cloudiness (%),Humidity,Temp,Wind Speed,Time
0,2339937,Auki,NG,6.51,12.18,85,73,25.44,4.91,2019-07-12 19:40:01
1,3378644,Georgetown,GY,-58.16,6.8,40,74,28.93,4.1,2019-07-12 19:40:02
2,4035715,Avarua,CK,-159.78,-21.21,40,88,22.0,1.0,2019-07-12 19:40:04
3,2264923,Peniche,PT,-9.38,39.36,40,94,21.3,2.1,2019-07-12 19:40:05
4,1006984,East London,ZA,27.91,-33.02,76,91,13.34,3.81,2019-07-12 19:40:07
5,158321,Karema,TZ,30.44,-6.82,44,65,24.24,1.64,2019-07-12 19:40:08
6,3899695,Ancud,CL,-73.83,-41.87,90,87,9.0,7.7,2019-07-12 19:40:09
7,2163355,Hobart,AU,147.33,-42.88,40,75,4.78,4.1,2019-07-12 19:37:02
8,3421719,Narsaq,GL,-46.05,60.91,75,48,17.0,3.1,2019-07-12 19:40:12
9,5861897,Fairbanks,US,-147.72,64.84,90,87,15.58,1.66,2019-07-12 19:38:00
10,3529654,Dzilam Gonzalez,MX,-88.93,21.28,100,80,29.34,6.95,2019-07-12 19:40:15
11,986717,Kruisfontein,ZA,24.73,-34.0,7,93,11.94,4.48,2019-07-12 19:40:16
12,1637001,Luwuk,ID,122.79,-0.95,100,97,16.54,1.8,2019-07-12 19:40:18
13,6185377,Yellowknife,CA,-114.38,62.45,75,47,12.88,8.7,2019-07-12 19:40:19
14,462626,Zilair,RU,57.44,52.23,0,38,24.34,7.63,2019-07-12 19:40:20
15,3372707,Ribeira Grande,PT,-28.7,38.52,40,83,23.0,3.1,2019-07-12 19:37:34
16,4030556,Rikitea,PF,-134.97,-23.12,9,79,23.44,7.68,2019-07-12 19:37:35
17,1273574,Vaini,IN,74.49,15.34,100,91,24.94,2.03,2019-07-12 19:40:24
18,934322,Mahebourg,MU,57.7,-20.41,40,64,20.53,4.1,2019-07-12 19:40:26
19,4031574,Provideniya,RU,-173.23,64.42,100,38,21.94,1.02,2019-07-12 19:40:27
20,3374083,Bathsheba,BB,-59.52,13.22,75,88,27.0,9.3,2019-07-12 19:40:28
21,4931273,Brewster,US,-70.08,41.76,20,78,26.47,5.1,2019-07-12 19:40:27
22,4020109,Atuona,PF,-139.03,-9.8,24,71,26.54,7.15,2019-07-12 19:37:46
23,3874787,Punta Arenas,CL,-70.91,-53.16,90,93,5.76,5.1,2019-07-12 19:40:34
24,1507390,Dikson,RU,80.55,73.51,0,88,0.34,7.0,2019-07-12 19:40:36
25,3545841,Nuevitas,CU,-77.27,21.55,40,59,32.0,6.7,2019-07-12 19:40:38
26,964432,Port Alfred,ZA,26.89,-33.59,95,79,17.22,2.24,2019-07-12 19:37:38
27,4500920,Brigantine,US,-74.36,39.41,20,49,31.0,5.7,2019-07-12 19:39:21
28,1015776,Bredasdorp,ZA,20.04,-34.53,9,77,14.67,4.6,2019-07-12 19:40:42
29,2155415,New Norfolk,AU,147.06,-42.78,40,75,4.78,4.1,2019-07-12 19:40:43
30,4011743,Constitucion,MX,-104.67,23.99,75,53,22.36,3.6,2019-07-12 19:40:45
31,6138908,Saint-Philippe,CA,-73.48,45.36,40,65,25.1,6.7,2019-07-12 19:40:46
32,965401,Phuthaditjhaba,ZA,28.82,-28.53,0,39,6.14,2.08,2019-07-12 19:40:47
33,496285,Severodvinsk,RU,39.82,64.56,40,87,9.0,2.0,2019-07-12 19:38:58
34,3366880,Hermanus,ZA,19.24,-34.42,0,81,13.52,2.24,2019-07-12 19:40:50
35,4032369,Pangai,TO,-174.35,-19.8,40,78,23.0,7.2,2019-07-12 19:40:51
