,level_0,index,city_id,City,Country,Lon,Lat,Cloudiness (%),Humidity,Temp,Wind Speed,Time
0,0,0,3424607,Tasiilaq,GL,-37.64,65.61,5,80,5.0,6.2,2019-06-26 00:17:56
1,1,1,2075265,Busselton,AU,115.35,-33.64,12,85,14.25,13.19,2019-06-26 00:15:26
2,2,2,4030556,Rikitea,PF,-134.97,-23.12,3,82,22.78,3.73,2019-06-26 00:18:00
3,3,3,3466902,Carmo do Paranaiba,BR,-46.32,-19.0,66,48,18.89,1.64,2019-06-26 00:18:03
4,4,4,5815599,West Richland,US,-119.35,46.3,1,17,26.91,3.22,2019-06-26 00:18:04
5,5,5,5384339,Port Hueneme,US,-119.2,34.15,90,82,18.57,3.1,2019-06-26 00:18:05
6,6,6,1529484,Hami,CN,93.51,42.84,60,32,21.88,6.5,2019-06-26 00:18:07
7,7,7,5855927,Hilo,US,-155.08,19.71,1,48,26.39,6.7,2019-06-26 00:14:42
8,8,8,2155415,New Norfolk,AU,147.06,-42.78,0,70,6.83,3.6,2019-06-26 00:18:09
9,9,9,1486910,Komsomolskiy,RU,63.78,67.55,92,91,4.48,6.48,2019-06-26 00:18:11
10,10,10,2312888,Mbanza-Ngungu,CD,14.87,-5.25,0,87,18.28,1.73,2019-06-26 00:18:12
11,11,11,3831208,Qaanaaq,GL,-69.36,77.48,86,78,1.88,2.12,2019-06-26 00:17:18
12,12,12,2063036,Port Lincoln,AU,135.86,-34.72,0,55,13.38,7.75,2019-06-26 00:18:15
13,13,13,4501427,Port Elizabeth,US,-74.98,39.31,1,69,27.69,1.5,2019-06-26 00:15:30
14,14,14,2960970,Westport,IE,-9.52,53.8,0,89,13.77,4.7,2019-06-26 00:15:59
15,15,15,2413070,Nioro,GM,-15.05,13.79,0,64,25.78,6.07,2019-06-26 00:18:20
16,16,16,6148373,Sioux Lookout,CA,-91.92,50.1,75,88,20.51,2.1,2019-06-26 00:18:22
17,17,17,6170031,Tuktoyaktuk,CA,-133.03,69.44,90,86,4.0,9.3,2019-06-26 00:18:23
18,18,18,2110227,Butaritari,KI,172.79,3.07,100,70,28.88,3.49,2019-06-26 00:18:24
19,19,19,3833859,Barrow,AR,-60.23,-38.31,11,59,5.28,4.33,2019-06-26 00:18:26
20,20,20,1688687,San Quintin,PH,120.52,17.54,97,77,26.98,1.31,2019-06-26 00:18:27
21,21,21,3840300,Presidencia Roque Saenz Pena,AR,-60.44,-26.79,100,42,10.78,3.61,2019-06-26 00:18:29
22,22,22,3985710,Cabo San Lucas,MX,-109.91,22.89,5,21,30.19,2.1,2019-06-26 00:16:25
23,23,23,3366880,Hermanus,ZA,19.24,-34.42,61,86,14.81,2.68,2019-06-26 00:18:31
24,24,24,5880568,Bethel,US,-161.76,60.79,75,52,19.2,2.6,2019-06-26 00:18:33
25,25,25,3874787,Punta Arenas,CL,-70.91,-53.16,88,94,0.0,2.68,2019-06-26 00:18:36
26,26,26,546105,Nikolskoye,RU,30.79,59.7,0,58,13.77,3.0,2019-06-26 00:18:37
27,27,27,5954718,Flin Flon,CA,-101.88,54.77,75,59,17.0,4.1,2019-06-26 00:18:39
28,28,28,964432,Port Alfred,ZA,26.89,-33.59,77,95,15.0,3.58,2019-06-26 00:15:58
29,29,29,6185377,Yellowknife,CA,-114.38,62.45,40,33,22.86,1.0,2019-06-26 00:15:36
30,30,30,525426,Sobolevo,RU,31.9,54.43,67,76,12.88,0.97,2019-06-26 00:18:43
31,31,31,3036965,Le Port,FR,1.37,42.87,58,52,19.83,0.45,2019-06-26 00:18:44
32,32,32,5848280,Kapaa,US,-159.32,22.08,90,78,26.05,2.1,2019-06-26 00:16:14
33,33,33,1273574,Vaini,IN,74.49,15.34,90,89,25.68,1.17,2019-06-26 00:18:47
34,34,34,2017155,Saskylakh,RU,114.09,71.97,77,35,25.78,5.23,2019-06-26 00:18:48
35,35,35,1486321,Yar-Sale,RU,70.83,66.83,70,71,5.98,4.04,2019-06-26 00:18:50
36,36,36,3616584,San Ramon,NI,-85.84,12.92,90,100,21.0,2.24,2019-06-26 00:18:51
37,37,37,3395458,Maragogi,BR,-35.22,-9.01,91,92,20.68,0.79,2019-06-26 00:16:25
38,38,38,1006984,East London,ZA,27.91,-33.02,92,94,12.68,2.64,2019-06-26 00:15:18
39,39,39,6113406,Prince Rupert,CA,-130.32,54.32,1,82,16.0,3.6,2019-06-26 00:18:55
40,40,40,57000,Hobyo,SO,48.53,5.35,23,74,24.78,7.77,2019-06-26 00:18:57
41,41,41,3397909,Itapipoca,BR,-39.58,-3.5,28,86,22.78,1.56,2019-06-26 00:18:58
42,42,42,1835848,Seoul,KR,126.98,37.57,1,69,23.09,2.6,2019-06-26 00:16:42
43,43,43,3833367,Ushuaia,AR,-68.31,-54.81,20,86,-1.0,2.6,2019-06-26 00:15:06
44,44,44,964406,Port Shepstone,ZA,30.45,-30.74,79,94,11.58,1.42,2019-06-26 00:19:02
45,45,45,2163355,Hobart,AU,147.33,-42.88,0,70,6.81,3.6,2019-06-26 00:19:04
46,46,46,6165406,Thompson,CA,-97.86,55.74,75,77,17.0,4.6,2019-06-26 00:15:09
47,47,47,5861897,Fairbanks,US,-147.72,64.84,40,27,22.2,3.6,2019-06-26 00:14:24
48,48,48,2170577,Cooma,AU,149.13,-36.24,75,100,2.0,4.1,2019-06-26 00:19:08
49,49,49,2013392,Vilyuysk,RU,121.63,63.75,10,60,20.58,2.47,2019-06-26 00:19:09
50,50,50,3461017,Irati,BR,-50.65,-25.47,82,95,13.48,1.02,2019-06-26 00:19:10
51,51,51,1015776,Bredasdorp,ZA,20.04,-34.53,82,77,14.97,5.7,2019-06-26 00:19:12
52,52,52,2293549,Abengourou,CI,-3.5,6.73,96,99,21.88,1.13,2019-06-26 00:19:13
53,53,53,2618795,Klaksvik,FO,-6.59,62.23,49,93,10.0,4.1,2019-06-26 00:19:16
54,54,54,5173930,Tiffin,US,-83.18,41.11,1,45,27.46,3.6,2019-06-26 00:19:17
55,55,55,2647984,Great Yarmouth,GB,1.73,52.61,81,100,14.69,3.6,2019-06-26 00:18:38
56,56,56,2737599,Saldanha,PT,-6.55,41.42,38,70,17.38,0.86,2019-06-26 00:19:20
57,57,57,4020109,Atuona,PF,-139.03,-9.8,1,76,27.38,7.75,2019-06-26 00:19:21
58,58,58,1701054,Marawi,PH,124.29,8.0,100,78,28.33,1.34,2019-06-26 00:19:23
59,59,59,6138908,Saint-Philippe,CA,-73.48,45.36,1,74,22.66,2.85,2019-06-26 00:19:24
60,60,60,6201424,Mataura,NZ,168.86,-46.19,48,73,8.89,3.58,2019-06-26 00:19:25
61,61,61,1690649,Calapi,PH,125.02,11.94,92,87,26.58,1.25,2019-06-26 00:19:27
62,62,62,2014624,Udachnyy,RU,112.4,66.42,0,43,22.0,2.0,2019-06-26 00:15:48
63,63,63,3981460,Coahuayana,MX,-100.35,18.62,32,63,30.08,1.0,2019-06-26 00:19:29
64,64,64,3423146,Ilulissat,GL,-51.1,69.22,75,81,8.0,3.1,2019-06-26 00:19:31
65,65,65,2068655,Katherine,AU,132.26,-14.47,84,21,17.0,3.6,2019-06-26 00:19:32
66,66,66,2122090,Pevek,RU,170.27,69.7,0,82,2.18,10.56,2019-06-26 00:19:34
67,67,67,2517679,Fortuna,ES,-1.13,38.18,20,88,22.17,2.1,2019-06-26 00:19:18
68,68,68,1106677,Bambous Virieux,MU,57.76,-20.34,75,83,22.36,4.6,2019-06-26 00:15:43
69,69,69,1168700,Ormara,PK,64.64,25.21,34,88,26.28,2.39,2019-06-26 00:19:38
70,70,70,3639898,Guatire,VE,-66.54,10.47,20,74,24.88,0.5,2019-06-26 00:19:39
71,71,71,6167817,Torbay,CA,-52.73,47.66,20,71,10.51,5.1,2019-06-26 00:15:13
72,72,72,1014034,Carnarvon,ZA,22.13,-30.97,0,32,8.18,6.32,2019-06-26 00:19:46
73,73,73,3443061,Chuy,UY,-53.46,-33.69,100,62,8.88,7.24,2019-06-26 00:19:47
74,74,74,986717,Kruisfontein,ZA,24.73,-34.0,59,93,11.08,5.83,2019-06-26 00:19:48
75,75,75,1045114,Inhambane,MZ,35.38,-23.87,1,93,14.18,1.39,2019-06-26 00:19:50
76,76,76,1582886,Dong Hoi,VN,106.6,17.48,100,76,27.88,1.95,2019-06-26 00:15:04
77,77,77,3440777,Rocha,UY,-54.34,-34.48,100,65,6.68,5.47,2019-06-26 00:19:54
78,78,78,3421765,Nanortalik,GL,-45.24,60.14,85,79,7.58,3.14,2019-06-26 00:19:55
79,79,79,286621,Salalah,OM,54.1,17.01,75,94,28.0,3.1,2019-06-26 00:17:42
80,80,80,3356832,Henties Bay,NA,14.28,-22.12,82,95,10.56,0.89,2019-06-26 00:19:58
81,81,81,3137469,Sorland,NO,12.69,67.67,100,88,8.88,5.87,2019-06-26 00:19:59
82,82,82,2015306,Tiksi,RU,128.87,71.64,12,55,14.28,1.9,2019-06-26 00:20:01
83,83,83,2175403,Bluff,AU,149.07,-23.58,0,69,18.68,8.72,2019-06-26 00:16:38
84,84,84,1804586,Laiyang,CN,120.7,36.98,99,66,23.28,4.48,2019-06-26 00:20:03
85,85,85,4407665,Kodiak,US,-94.76,39.95,1,26,29.3,3.1,2019-06-26 00:20:06
86,86,86,749747,Ayan,TR,33.6,40.67,0,86,14.48,1.14,2019-06-26 00:20:07
87,87,87,3177120,Navoi,IT,11.83,46.17,2,78,21.03,1.5,2019-06-26 00:20:10
88,88,88,3927758,Tarma,PE,-75.69,-11.42,31,71,2.88,0.51,2019-06-26 00:20:12
89,89,89,1282256,Hithadhoo,MV,73.08,-0.6,49,68,28.88,1.5,2019-06-26 00:20:13
90,90,90,5972291,Havre-Saint-Pierre,CA,-63.6,50.23,20,48,17.0,3.1,2019-06-26 00:20:14
91,91,91,3879429,Monte Patria,CL,-70.96,-30.69,0,46,9.78,0.52,2019-06-26 00:20:18
92,92,92,2161515,Kiama,AU,150.86,-34.67,75,100,13.36,3.6,2019-06-26 00:20:20
93,93,93,3453439,Ponta do Sol,BR,-46.0,-20.63,100,69,19.58,1.3,2019-06-26 00:20:21
94,94,94,3894426,Coihaique,CL,-72.07,-45.58,90,86,3.42,4.1,2019-06-26 00:20:23
95,95,95,777682,Skjervoy,NO,20.97,70.03,100,86,8.58,6.29,2019-06-26 00:20:24
96,96,96,2191562,Dunedin,NZ,170.5,-45.87,0,40,12.22,4.02,2019-06-26 00:19:15
97,97,97,1507636,Chunskiy,RU,99.63,56.08,100,80,16.58,3.1,2019-06-26 00:20:27
98,98,98,4011743,Constitucion,MX,-104.67,23.99,90,20,26.15,4.1,2019-06-26 00:20:28
99,99,99,1684245,Tagusao,PH,117.81,9.19,90,71,28.58,3.07,2019-06-26 00:20:30
100,100,100,5354943,Half Moon Bay,US,-122.43,37.46,40,87,21.1,3.6,2019-06-26 00:19:48
101,101,101,2109528,Buala,SB,159.59,-8.15,95,80,28.18,4.14,2019-06-26 00:19:48
102,102,102,3181757,Borgo San Dalmazzo,IT,7.49,44.33,5,58,23.1,0.68,2019-06-26 00:20:34
103,103,103,743882,Kastamonu,TR,33.78,41.38,0,95,14.58,0.69,2019-06-26 00:20:36
104,104,104,6078372,Moose Factory,CA,-80.61,51.26,90,82,19.0,4.1,2019-06-26 00:20:38
105,105,105,3369157,Cape Town,ZA,18.42,-33.93,0,76,14.1,6.2,2019-06-26 00:20:39
106,106,106,3437029,San Patricio,PY,-56.83,-26.98,100,83,8.68,4.51,2019-06-26 00:20:41
107,107,107,146639,Lasa,CY,32.53,34.92,0,73,22.36,2.1,2019-06-26 00:20:42
108,108,108,2126710,Beringovskiy,RU,179.32,63.05,100,95,5.58,7.19,2019-06-26 00:20:43
109,109,109,5955902,Fort Nelson,CA,-122.69,58.81,75,38,24.0,1.5,2019-06-26 00:20:45
110,110,110,104515,Mecca,SA,39.83,21.43,63,53,29.78,0.8,2019-06-26 00:20:48
111,111,111,3471451,Arraial do Cabo,BR,-42.02,-22.97,0,88,22.0,2.6,2019-06-26 00:20:50
112,112,112,779330,Kautokeino,NO,23.04,69.01,94,67,7.88,6.25,2019-06-26 00:19:43
113,113,113,1337612,Dhidhdhoo,MV,73.1,6.88,98,75,28.48,5.92,2019-06-26 00:20:53
114,114,114,1488903,Turukhansk,RU,87.96,65.8,65,56,8.88,3.37,2019-06-26 00:20:54
115,115,115,1515029,Ulaangom,MN,92.07,49.98,67,35,12.58,4.27,2019-06-26 00:20:56
116,116,116,3390864,Acari,BR,-36.64,-6.44,61,65,24.78,9.25,2019-06-26 00:20:57
117,117,117,3650121,Olinda,EC,-79.75,-2.03,75,74,26.24,2.1,2019-06-26 00:20:59
118,118,118,3378644,Georgetown,GY,-58.16,6.8,40,78,26.9,2.1,2019-06-26 00:16:16
119,119,119,5367788,Lompoc,US,-120.46,34.64,1,64,19.33,5.7,2019-06-26 00:19:20
120,120,120,4031574,Provideniya,RU,-173.23,64.42,90,76,10.0,9.0,2019-06-26 00:21:03
121,121,121,2156927,Moree,AU,149.84,-29.46,48,62,15.58,3.6,2019-06-26 00:17:14
122,122,122,2015852,Svetlaya,RU,138.33,46.54,100,72,23.68,0.08,2019-06-26 00:19:33
123,123,123,2173911,Broken Hill,AU,141.45,-31.97,0,66,11.0,4.6,2019-06-26 00:16:45
124,124,124,3132644,Varhaug,NO,5.65,58.61,75,87,14.82,2.1,2019-06-26 00:21:08
125,125,125,262462,Saint George,GR,22.34,39.45,40,73,23.22,0.33,2019-06-26 00:16:20
126,126,126,3896218,Castro,CL,-73.76,-42.48,90,100,8.0,7.2,2019-06-26 00:19:02
127,127,127,3356264,Keetmanshoop,NA,18.15,-26.57,0,46,10.0,2.1,2019-06-26 00:21:12
128,128,128,3835869,Santiago del Estero,AR,-64.26,-27.8,0,26,9.48,3.05,2019-06-26 00:18:06
129,129,129,6620339,Karratha,AU,116.85,-20.74,66,24,21.28,2.28,2019-06-26 00:21:15
130,130,130,2132606,Samarai,PG,150.67,-10.62,99,93,24.28,2.58,2019-06-26 00:19:21
131,131,131,1507390,Dikson,RU,80.55,73.51,50,84,0.68,8.38,2019-06-26 00:21:19
132,132,132,2445704,Diffa,NE,12.61,13.32,16,27,34.48,2.89,2019-06-26 00:21:20
133,133,133,3398381,Morros,BR,-44.04,-2.87,40,88,26.0,1.5,2019-06-26 00:21:22
134,134,134,2012956,Yerbogachen,RU,108.01,61.28,0,51,21.88,2.48,2019-06-26 00:21:23
135,135,135,2122104,Petropavlovsk-Kamchatskiy,RU,158.65,53.05,90,100,8.0,4.0,2019-06-26 00:20:24
136,136,136,1242110,Kalmunai,LK,81.82,7.42,100,80,24.78,0.93,2019-06-26 00:21:26
137,137,137,3374210,Sao Filipe,CV,-24.5,14.9,0,84,23.78,8.01,2019-06-26 00:21:27
138,138,138,2063042,Port Hedland,AU,118.58,-20.31,30,18,17.0,4.1,2019-06-26 00:21:29
139,139,139,5961417,Husavik,CA,-96.99,50.56,18,39,24.16,2.68,2019-06-26 00:21:30
140,140,140,1640902,Kawalu,ID,108.21,-7.38,7,84,18.88,1.38,2019-06-26 00:21:31
141,141,141,3863379,Mar del Plata,AR,-67.52,-46.43,74,57,5.58,7.61,2019-06-26 00:21:33
142,142,142,1254046,Tura,IN,90.21,25.52,100,90,26.78,3.05,2019-06-26 00:21:34
143,143,143,1651810,Airai,TL,125.41,-8.93,0,52,23.28,1.26,2019-06-26 00:19:19
144,144,144,2410624,Baiima,SL,-11.85,8.11,51,98,23.48,1.29,2019-06-26 00:21:37
145,145,145,5106834,Albany,US,-73.75,42.65,40,57,23.21,3.6,2019-06-26 00:18:47
146,146,146,1607801,Phanom Sarakham,TH,101.35,13.75,20,88,27.0,2.57,2019-06-26 00:21:40
147,147,147,3698359,Chicama,PE,-79.15,-7.84,20,82,18.0,4.1,2019-06-26 00:17:08
148,148,148,6316343,Alta Floresta,BR,-56.08,-9.87,65,61,23.08,0.71,2019-06-26 00:21:45
149,149,149,2232239,Edea,CM,10.13,3.8,75,100,24.0,1.0,2019-06-26 00:21:46
150,150,150,2613694,Skaelskor,DK,11.29,55.25,95,82,19.39,1.5,2019-06-26 00:21:48
151,151,151,3838233,Humaita,AR,-65.37,-24.93,90,80,7.24,1.0,2019-06-26 00:21:49
152,152,152,548391,Kirovsk,RU,33.66,67.62,2,79,7.78,1.65,2019-06-26 00:21:51
153,153,153,2126682,Bilibino,RU,166.44,68.06,26,23,16.28,5.88,2019-06-26 00:20:11
154,154,154,1714733,Dingle,PH,122.67,11.0,99,79,27.48,1.31,2019-06-26 00:21:53
155,155,155,4984075,Alpena,US,-83.43,45.06,75,42,24.81,7.7,2019-06-26 00:21:55
156,156,156,3652764,Puerto Ayora,EC,-90.35,-0.74,20,73,24.0,8.2,2019-06-26 00:21:57
157,157,157,1213855,Sibolga,ID,98.78,1.74,50,78,27.48,3.25,2019-06-26 00:20:38
158,158,158,2427336,Moussoro,TD,16.49,13.64,24,35,32.78,3.52,2019-06-26 00:22:00
159,159,159,2396518,Port-Gentil,GA,8.78,-0.72,20,83,25.0,3.6,2019-06-26 00:20:19
160,160,160,3466165,Cidreira,BR,-50.22,-30.17,100,86,13.78,6.74,2019-06-26 00:22:03
161,161,161,72181,Marzuq,YE,46.47,14.4,86,34,28.38,2.99,2019-06-26 00:22:04
162,162,162,4035715,Avarua,CK,-159.78,-21.21,83,65,25.0,4.6,2019-06-26 00:22:06
163,163,163,5380437,Pacific Grove,US,-121.92,36.62,1,63,21.5,5.7,2019-06-26 00:17:12
164,164,164,3372707,Ribeira Grande,PT,-28.7,38.52,8,74,18.78,7.03,2019-06-26 00:19:06
165,165,165,4863349,Basco,US,-91.2,40.33,75,61,28.53,2.99,2019-06-26 00:22:10
166,166,166,6096551,Pangnirtung,CA,-65.72,66.15,22,40,13.78,2.21,2019-06-26 00:22:11
167,167,167,2180815,Tuatapere,NZ,167.69,-46.13,84,73,9.44,4.47,2019-06-26 00:22:12
168,168,168,6089245,Norman Wells,CA,-126.83,65.28,75,81,11.0,7.2,2019-06-26 00:22:14
