,city_id,City,Country,Lon,Lat,Cloudiness (%),Humidity,Temp,Wind Speed,Time
0,2163355,Hobart,AU,147.33,-42.88,0,75,5.9,3.6,2019-06-25 18:40:18
1,3899695,Ancud,CL,-73.83,-41.87,90,93,7.0,5.1,2019-06-25 18:40:19
2,1848373,Fukue,JP,136.69,35.03,40,88,21.02,2.6,2019-06-25 18:40:21
3,3450554,Salvador,BR,-38.48,-12.98,75,88,25.0,3.6,2019-06-25 18:38:16
4,2121385,Severo-Kurilsk,RU,156.12,50.68,100,98,6.26,5.48,2019-06-25 18:40:24
5,1310460,Martaban,MM,97.61,16.53,100,82,27.56,2.47,2019-06-25 18:40:25
6,3833367,Ushuaia,AR,-68.31,-54.81,40,90,-0.55,4.1,2019-06-25 18:40:28
7,3939168,Huarmey,PE,-78.15,-10.07,99,86,17.06,6.47,2019-06-25 18:40:29
8,6089245,Norman Wells,CA,-126.83,65.28,90,93,11.0,7.2,2019-06-25 18:40:30
9,2022572,Khatanga,RU,102.47,71.98,97,53,20.96,6.1,2019-06-25 18:40:32
10,2017155,Saskylakh,RU,114.09,71.97,83,52,20.46,1.69,2019-06-25 18:40:33
11,1273574,Vaini,IN,74.49,15.34,72,89,26.06,1.57,2019-06-25 18:40:35
12,5850554,Makakilo City,US,-158.09,21.35,75,100,24.93,4.1,2019-06-25 18:40:14
13,1014034,Carnarvon,ZA,22.13,-30.97,0,28,10.36,4.0,2019-06-25 18:40:37
14,5955902,Fort Nelson,CA,-122.69,58.81,40,52,21.0,2.6,2019-06-25 18:40:39
15,3874787,Punta Arenas,CL,-70.91,-53.16,20,64,1.41,4.6,2019-06-25 18:40:40
16,4030556,Rikitea,PF,-134.97,-23.12,5,86,22.06,5.36,2019-06-25 18:40:41
17,2488835,Medea,DZ,2.77,36.27,20,78,25.0,4.6,2019-06-25 18:40:43
18,2013279,Vostok,RU,135.83,46.45,100,97,16.26,1.52,2019-06-25 18:40:44
19,64013,Bosaso,SO,49.18,11.28,0,75,30.46,0.76,2019-06-25 18:40:45
20,3443061,Chuy,UY,-53.46,-33.69,100,73,11.26,9.6,2019-06-25 18:40:47
21,2170577,Cooma,AU,149.13,-36.24,90,100,-3.0,3.6,2019-06-25 18:40:48
22,2126123,Chokurdakh,RU,147.9,70.62,0,40,19.26,4.69,2019-06-25 18:40:50
23,3402648,Carutapera,BR,-46.02,-1.2,5,83,27.56,3.29,2019-06-25 18:40:51
24,1259312,Proddatur,IN,78.55,14.76,91,64,29.66,4.02,2019-06-25 18:40:53
25,3985710,Cabo San Lucas,MX,-109.91,22.89,5,65,29.73,3.6,2019-06-25 18:40:17
26,6138908,Saint-Philippe,CA,-73.48,45.36,90,93,18.78,4.1,2019-06-25 18:39:39
27,3533462,Acapulco,MX,-99.88,16.86,90,83,28.0,1.5,2019-06-25 18:39:40
28,787487,Poum,MK,20.71,41.28,40,60,23.0,5.7,2019-06-25 18:40:58
29,5106834,Albany,US,-73.75,42.65,90,100,23.56,2.1,2019-06-25 18:39:36
30,5880568,Bethel,US,-161.76,60.79,90,87,14.73,2.1,2019-06-25 18:39:40
31,6185377,Yellowknife,CA,-114.38,62.45,20,37,22.0,3.6,2019-06-25 18:41:03
32,1160939,Iranshahr,IR,60.69,27.21,0,5,38.0,5.1,2019-06-25 18:41:05
33,3424607,Tasiilaq,GL,-37.64,65.61,5,66,9.0,7.2,2019-06-25 18:41:06
34,2640358,Perth,GB,-3.43,56.4,40,67,14.54,3.6,2019-06-25 18:41:07
35,6201424,Mataura,NZ,168.86,-46.19,33,83,6.67,2.24,2019-06-25 18:41:09
36,286621,Salalah,OM,54.1,17.01,75,89,29.0,4.1,2019-06-25 18:41:10
37,2161441,Killarney,AU,152.3,-28.34,93,87,9.44,6.26,2019-06-25 18:41:12
38,2729907,Longyearbyen,NO,15.63,78.22,40,65,7.0,4.1,2019-06-25 18:41:13
39,5404476,Ukiah,US,-123.21,39.15,1,26,24.21,3.6,2019-06-25 18:36:35
40,2075265,Busselton,AU,115.35,-33.64,56,83,12.76,11.09,2019-06-25 18:41:17
41,2373526,Catio,GW,-15.25,11.28,0,75,27.06,6.93,2019-06-25 18:41:19
42,4035715,Avarua,CK,-159.78,-21.21,100,73,23.0,2.6,2019-06-25 18:40:49
43,3359638,Walvis Bay,NA,14.51,-22.95,8,82,13.22,1.5,2019-06-25 18:41:22
44,5354943,Half Moon Bay,US,-122.43,37.46,20,82,20.81,3.6,2019-06-25 18:41:23
45,2960970,Westport,IE,-9.52,53.8,75,82,18.07,4.1,2019-06-25 18:41:24
46,3652764,Puerto Ayora,EC,-90.35,-0.74,75,73,25.0,9.3,2019-06-25 18:41:26
47,5848280,Kapaa,US,-159.32,22.08,75,83,26.22,3.6,2019-06-25 18:40:00
48,2112802,Hasaki,JP,140.83,35.73,20,100,17.39,1.0,2019-06-25 18:41:30
49,3896218,Castro,CL,-73.76,-42.48,90,93,7.0,5.1,2019-06-25 18:39:21
50,2155415,New Norfolk,AU,147.06,-42.78,0,75,5.91,3.6,2019-06-25 18:41:33
51,780687,Berlevag,NO,29.09,70.86,75,66,10.31,8.7,2019-06-25 18:41:35
52,286987,Nizwa,OM,57.53,22.93,0,49,27.66,2.1,2019-06-25 18:41:37
53,2180815,Tuatapere,NZ,167.69,-46.13,78,83,6.67,2.24,2019-06-25 18:41:38
54,5983720,Iqaluit,CA,-68.52,63.75,75,66,10.0,2.6,2019-06-25 18:40:42
55,1853371,Ryotsu,JP,138.43,38.08,0,93,16.0,0.5,2019-06-25 18:41:41
56,3614663,Brus Laguna,HN,-84.48,15.75,0,79,28.56,7.88,2019-06-25 18:41:42
57,2428231,Massaguet,TD,15.44,12.48,14,28,35.56,5.8,2019-06-25 18:41:44
58,1785036,Zhangye,CN,100.46,38.94,100,74,15.36,2.34,2019-06-25 18:41:45
59,6539761,Rome,IT,12.48,41.89,0,48,27.9,2.6,2019-06-25 18:38:24
60,2069194,Jamestown,AU,138.6,-33.21,0,58,7.66,3.64,2019-06-25 18:41:48
61,5059429,Grand Forks,US,-97.06,47.91,75,56,22.02,7.15,2019-06-25 18:41:49
62,2656067,Broome,GB,1.45,52.47,75,88,18.73,3.6,2019-06-25 18:40:13
63,2028164,Deputatskiy,RU,139.9,69.3,47,57,15.26,1.96,2019-06-25 18:40:20
64,1651810,Airai,TL,125.41,-8.93,2,75,18.56,2.72,2019-06-25 18:41:54
65,546105,Nikolskoye,RU,30.79,59.7,0,39,18.35,3.0,2019-06-25 18:39:51
66,2142316,Yeppoon,AU,150.74,-23.13,40,82,15.0,3.6,2019-06-25 18:41:09
67,4695361,Galle,US,-97.91,29.74,1,62,30.71,3.1,2019-06-25 18:41:58
68,5989403,Kapuskasing,CA,-82.43,49.42,90,87,16.0,5.7,2019-06-25 18:42:00
69,1512205,Abaza,RU,90.1,52.65,96,71,9.16,2.46,2019-06-25 18:42:02
70,3833859,Barrow,AR,-60.23,-38.31,16,40,10.26,9.53,2019-06-25 18:42:03
71,2654970,Brae,GB,-1.35,60.4,0,81,11.0,5.1,2019-06-25 18:42:05
72,924572,Nsanje,MZ,35.26,-16.92,34,71,20.76,3.92,2019-06-25 18:42:06
73,3366880,Hermanus,ZA,19.24,-34.42,48,85,14.75,3.58,2019-06-25 18:42:07
74,359792,Aswan,EG,32.9,24.09,0,15,40.0,1.5,2019-06-25 18:42:09
75,3500957,La Romana,DO,-68.97,18.43,40,59,31.26,5.7,2019-06-25 18:41:00
76,1337620,Funadhoo,MV,73.27,6.15,90,78,28.66,5.24,2019-06-25 18:42:12
