,city_id,City,Country,Lon,Lat,Cloudiness (%),Humidity,Temp,Wind Speed,Time
0,3389822,Salinopolis,BR,-47.36,-0.61,78,80,27.78,8.38,2019-08-14 00:05:16
1,3437029,San Patricio,PY,-56.83,-26.98,0,76,7.38,2.83,2019-08-14 00:05:17
2,3833367,Ushuaia,AR,-68.31,-54.81,75,55,3.0,2.1,2019-08-14 00:03:15
3,3026644,Souillac,FR,-0.6,45.6,0,82,14.44,0.89,2019-08-14 00:05:20
4,1651810,Airai,TL,125.41,-8.93,2,40,25.38,0.36,2019-08-14 00:05:21
5,1006984,East London,ZA,27.91,-33.02,0,81,10.28,2.24,2019-08-14 00:05:23
6,1798537,Hanyang,CN,105.51,32.14,29,70,23.28,2.82,2019-08-14 00:05:24
7,3831208,Qaanaaq,GL,-69.36,77.48,41,51,6.28,0.41,2019-08-14 00:01:04
8,5106834,Albany,US,-73.75,42.65,75,83,21.62,1.5,2019-08-14 00:05:27
9,3514593,Tecolutla,MX,-98.74,17.31,72,92,19.58,1.91,2019-08-14 00:05:28
10,4030556,Rikitea,PF,-134.97,-23.12,0,79,22.98,6.01,2019-08-14 00:05:30
11,6201424,Mataura,NZ,168.86,-46.19,76,63,7.68,4.98,2019-08-14 00:05:31
12,1637001,Biak,ID,122.88,-0.91,94,93,17.58,2.59,2019-08-14 00:05:32
13,2146219,Hervey Bay,AU,152.85,-25.3,90,63,19.0,3.6,2019-08-14 00:05:34
14,3685871,Corinto,CO,-76.26,3.17,40,58,28.0,6.2,2019-08-14 00:05:35
15,105299,Jizan,SA,42.56,16.89,40,62,30.0,2.1,2019-08-14 00:05:36
16,1852357,Shimoda,JP,138.93,34.7,75,88,27.29,4.6,2019-08-14 00:05:38
17,2508813,Adrar,DZ,-0.29,27.87,0,13,36.0,6.2,2019-08-14 00:05:41
18,3433715,Goya,AR,-59.27,-29.14,0,65,7.18,3.69,2019-08-14 00:05:42
19,1255860,Basna,IN,73.75,25.97,91,74,27.88,4.03,2019-08-14 00:05:43
20,4031637,Lavrentiya,RU,-170.99,65.58,84,65,12.18,8.72,2019-08-14 00:05:46
21,1326105,Falam,MM,93.68,22.91,100,98,18.48,0.47,2019-08-14 00:05:47
22,2090021,Namatanai,PG,152.44,-3.66,62,83,26.88,6.51,2019-08-14 00:03:41
23,4035715,Avarua,CK,-159.78,-21.21,35,69,26.0,4.1,2019-08-14 00:05:50
24,2163355,Hobart,AU,147.33,-42.88,20,75,8.0,5.1,2019-08-14 00:05:51
25,3443061,Chuy,UY,-53.46,-33.69,52,72,6.58,7.14,2019-08-14 00:05:53
26,1263751,Mangrol,IN,76.51,25.33,100,86,26.68,2.09,2019-08-14 00:05:54
27,2208248,Kaitangata,NZ,169.85,-46.28,90,71,5.48,5.6,2019-08-14 00:05:56
28,3832899,Viedma,AR,-62.99,-40.81,21,51,4.38,4.02,2019-08-14 00:05:57
29,1273574,Vaini,IN,74.49,15.34,100,91,24.38,0.59,2019-08-14 00:05:58
