,Wrestler,2013 Wins,2013 Losses,2013 Draws,2014 Wins,2014 Losses,2014 Draws,2015 Wins,2015 Losses,2015 Draws,2016 Wins,2016 Losses,2016 Draws
0,Daniel Bryan,177.0,37.0,6.0,35.0,16.0,2.0,51.0,7.0,0.0,,,
1,Dean Ambrose,70.0,134.0,4.0,129.0,36.0,2.0,150.0,63.0,5.0,133.0,67.0,4.0
2,Antonio Cesaro,80.0,126.0,1.0,5.0,24.0,0.0,,,,,,
3,Seth Rollins,50.0,150.0,4.0,87.0,105.0,4.0,51.0,124.0,1.0,39.0,75.0,4.0
4,Randy Orton,129.0,63.0,8.0,33.0,87.0,5.0,81.0,10.0,1.0,39.0,21.0,0.0
5,Roman Reigns,49.0,140.0,5.0,118.0,28.0,4.0,187.0,19.0,7.0,142.0,12.0,5.0
6,Ryback,103.0,88.0,3.0,43.0,114.0,1.0,138.0,34.0,2.0,37.0,17.0,1.0
7,Damien Sandow,39.0,147.0,3.0,3.0,113.0,0.0,50.0,9.0,2.0,11.0,18.0,0.0
8,Alberto Del Rio,126.0,53.0,4.0,31.0,82.0,1.0,26.0,13.0,2.0,24.0,65.0,2.0
9,Dolph Ziggler,62.0,117.0,1.0,134.0,60.0,2.0,115.0,52.0,2.0,114.0,56.0,2.0
10,Cody Rhodes,47.0,114.0,3.0,46.0,43.0,1.0,,,,,,
11,Jack Swagger,56.0,96.0,2.0,49.0,123.0,1.0,65.0,65.0,0.0,73.0,70.0,0.0
12,Kofi Kingston,66.0,79.0,4.0,82.0,72.0,1.0,86.0,90.0,1.0,95.0,39.0,1.0
13,Zack Ryder,66.0,80.0,0.0,8.0,53.0,0.0,88.0,45.0,0.0,119.0,51.0,2.0
14,Brodus Clay,100.0,44.0,1.0,3.0,21.0,1.0,,,,,,
15,Jey Uso,85.0,54.0,1.0,139.0,42.0,4.0,37.0,28.0,1.0,76.0,90.0,0.0
16,Sheamus,110.0,25.0,5.0,141.0,29.0,2.0,58.0,86.0,1.0,44.0,115.0,5.0
17,Jimmy Uso,85.0,52.0,1.0,143.0,43.0,4.0,82.0,36.0,3.0,70.0,80.0,0.0
18,Tensai,91.0,46.0,1.0,,,,,,,,,
19,Titus O'Neil,29.0,108.0,1.0,29.0,132.0,1.0,92.0,61.0,0.0,47.0,73.0,1.0
20,The Miz,61.0,71.0,5.0,40.0,92.0,1.0,17.0,115.0,1.0,43.0,103.0,1.0
21,Heath Slater,5.0,129.0,1.0,11.0,106.0,1.0,1.0,131.0,0.0,62.0,64.0,0.0
22,John Cena,127.0,6.0,1.0,141.0,23.0,0.0,125.0,11.0,0.0,29.0,21.0,0.0
23,Wade Barrett,52.0,77.0,1.0,,,,,,,,,
24,Darren Young,28.0,100.0,1.0,26.0,8.0,0.0,87.0,47.0,2.0,74.0,28.0,2.0
25,R-Truth,76.0,51.0,1.0,61.0,49.0,0.0,94.0,44.0,1.0,96.0,21.0,1.0
26,Big E. Langston,51.0,75.0,1.0,19.0,4.0,1.0,,,,,,
27,Fandango,58.0,66.0,1.0,20.0,124.0,1.0,69.0,75.0,1.0,24.0,111.0,0.0
28,Kaitlyn,87.0,37.0,1.0,,,,,,,,,
29,Justin Gabriel,61.0,62.0,1.0,3.0,53.0,1.0,,,,,,
30,Kane,98.0,26.0,0.0,10.0,126.0,1.0,44.0,92.0,0.0,103.0,15.0,0.0
